Filename;Drawer;Base filename;First word;Last word;First word index;Last word index;Sequence;Error message
KRIJP_21320_03030596_i19.djvu;I19;i19;i;i;19;19;205;
KRIJP_21323_03030598_i20.djvu;I20;i20;i;i;20;20;206;
KRIJP_21324_03030599_i21.djvu;I21;i21;i;i;21;21;207;
KRIJP_21325_03030600_i22.djvu;I22;i22;i;i;22;22;208;
KRIJP_21326_03030601_i23-ilacja.djvu;I23 - Ilacja;i23-ilacja;i;ilacja;23;1;209;
KRIJP_21334_03030609_ile-imie.djvu;Ile - Imię;ile-imie;ile;imię;1;1;210;
KRIJP_21335_03030610_imacz-importowac.djvu;Imacz - Importować;imacz-importowac;imacz;importować;1;1;211;
KRIJP_21337_03030611_indyjczyk-inowierny.djvu;Indyjczyk - Inowierny;indyjczyk-inowierny;indyjczyk;inowierny;1;1;212;
KRIJP_21338_03030612_inny-insystowanie.djvu;Inny - Insystowanie;inny-insystowanie;inny;insystowanie;1;1;213;
KRIJP_21339_03030613_inszy.djvu;Inszy;inszy;inszy;inszy;1;1;214;
KRIJP_21340_03030614_intabulacja-intrata.djvu;Intabulacja - Intrata;intabulacja-intrata;intabulacja;intrata;1;1;215;
KRIJP_21341_03030615_intratka-iscizna.djvu;Intratka - Iścizna;intratka-iscizna;intratka;iścizna;1;1;216;
KRIJP_21342_03030616_isc.djvu;Iść;isc;iść;iść;1;1;217;
KRIJP_21343_03030617_isccow-izraelski.djvu;Iśćców - Izraelski;isccow-izraelski;iśćców;izraelski;1;1;218;
KRIJP_21344_03030618_iz-izec.djvu;Iż - Iżeć;iz-izec;iż;iżeć;1;1;219;
KRIJP_21375_03030619_ja1.djvu;Ja1;ja1;ja;ja;1;1;220;
KRIJP_21376_03030620_ja2.djvu;Ja2;ja2;ja;ja;2;2;221;
KRIJP_21377_03030621_ja3.djvu;Ja3;ja3;ja;ja;3;3;222;
KRIJP_21378_03030622_ja4-jagniecy.djvu;Ja4 - Jagnięcy;ja4-jagniecy;ja;jagnięcy;4;1;223;
KRIJP_21379_03030623_jagoda-jak1.djvu;Jagoda - Jak1;jagoda-jak1;jagoda;jak;1;1;224;
KRIJP_21380_03030624_jak2-jakby.djvu;Jak2 - Jakby;jak2-jakby;jak;jakby;2;1;225;
KRIJP_21381_03030625_jaki.djvu;Jaki;jaki;jaki;jaki;1;1;226;
KRIJP_21382_03030626_jakikolwiek-jakmiarz.djvu;Jakikolwiek - Jakmiarz;jakikolwiek-jakmiarz;jakikolwiek;jakmiarz;1;1;227;
KRIJP_21383_03030627_jako1.djvu;Jako1;jako1;jako;jako;1;1;228;
KRIJP_21384_03030628_jako2.djvu;Jako2;jako2;jako;jako;2;2;229;
KRIJP_21385_03030629_jako3.djvu;Jako3;jako3;jako;jako;3;3;230;
KRIJP_21386_03030630_jako4.djvu;Jako4;jako4;jako;jako;4;4;231;
KRIJP_21387_03030631_jakobita-jalat.djvu;Jakobita - Jałat;jakobita-jalat;jakobita;jałat;1;1;232;
KRIJP_21390_03030632_jalmulka-jaskoleczka.djvu;Jałmułka - Jaskółeczka;jalmulka-jaskoleczka;jałmułka;jaskółeczka;1;1;233;
KRIJP_21388_03030633_jaskolka-jawny.djvu;Jaskółka - Jawny;jaskolka-jawny;jaskółka;jawny;1;1;234;
KRIJP_21389_03030634_jawolka-jechowa.djvu;Jawołka - Jechowa;jawolka-jechowa;jawołka;jechowa;1;1;235;
KRIJP_21391_03030635_jeden1.djvu;Jeden1;jeden1;jeden;jeden;1;1;236;
KRIJP_21392_03030636_jeden2.djvu;Jeden2;jeden2;jeden;jeden;2;2;237;
KRIJP_21393_03030637_jeden3-jednac.djvu;Jeden3 - Jednać;jeden3-jednac;jeden;jednać;3;1;238;
KRIJP_21394_03030638_jednak.djvu;Jednak;jednak;jednak;jednak;1;1;239;
KRIJP_21395_03030639_jednaki-jedynowlasny.djvu;Jednaki - Jedynowłasny;jednaki-jedynowlasny;jednaki;jedynowłasny;1;1;240;
